ts,dir,entry,pct_move,vol_x,ret_15m,mfe_15m,mae_15m,ret_30m,mfe_30m,mae_30m,ret_60m,mfe_60m,mae_60m,ret_eod,mfe_eod,mae_eod,date,year
2020-02-26 13:30:00-05:00,dn,312.5,-0.503056546102898,1.7891276113718093,0.0015999999999985446,0.5760000000000037,0.22079999999999925,0.3423999999999978,0.5760000000000037,0.22079999999999925,0.14399999999999635,0.5760000000000037,0.22079999999999925,0.3039999999999964,0.5760000000000037,0.3071999999999935,2020-02-26,2020
2020-02-26 13:45:00-05:00,up,312.495,0.5453667953667862,2.3785153946859072,-0.34080545288724545,0.07520120321925587,0.5616089857437705,-0.19680314885038452,0.11680186882990419,0.5616089857437705,-0.10400166402662078,0.20320325125201713,0.5616089857437705,-0.30240483847741345,0.30880494087904603,0.5616089857437705,2020-02-26,2020
2020-02-27 13:40:00-05:00,dn,304.42,-0.5000817126981416,2.0224033550199914,-0.0328493528677373,0.11168779975035538,0.6996912160830416,0.04434662637145749,0.38466592208133243,0.6996912160830416,-0.0771959792391948,0.42704158728073427,0.6996912160830416,2.256750542014324,2.2666053478746577,0.6996912160830416,2020-02-27,2020
2020-03-03 14:05:00-05:00,dn,297.66,-0.5911231339545076,1.6628150990596346,-0.12766243364912835,0.030235839548488817,0.7827722905328173,-0.4647584492373831,0.030235839548488817,1.189276355573461,-1.3337364778606362,0.030235839548488817,1.793993146543027,-0.9003561109991096,0.030235839548488817,2.2105758247665066,2020-03-03,2020
2020-03-03 14:25:00-05:00,up,300.34,0.7717084955039422,1.7150839886016882,-0.5044283145768085,0.2863421455683604,0.642605047612689,0.3362855430512246,0.8856629153625974,0.642605047612689,1.265232736232274,1.2985283345541834,0.642605047612689,0.0,1.2985283345541834,0.642605047612689,2020-03-03,2020
2020-03-03 15:25:00-05:00,up,304.14,0.8488626566748536,1.3527668332150595,-0.5753929111593346,0.0,1.4960215690142735,-1.2494246070888444,0.0,1.5946603537844304,-1.2494246070888444,0.0,1.5946603537844304,-1.2494246070888444,0.0,1.5946603537844304,2020-03-03,2020
2020-03-06 15:15:00-05:00,up,292.7,0.5911059179324996,1.6019026622324855,0.5534677143833292,0.6901264092928044,0.3245644004099722,0.9429449948752959,1.0830201571575047,0.3245644004099722,1.61257259993168,2.077212162623842,0.3245644004099722,1.61257259993168,2.077212162623842,0.3245644004099722,2020-03-06,2020
2020-03-09 14:50:00-04:00,up,276.77,0.8637026239067147,1.7792333326502614,0.08310149221375807,0.4986089532825073,0.39744191928314704,0.3432452939263813,0.4986089532825073,0.4407992195685842,0.43357300285437206,0.9249557394226261,0.4407992195685842,-0.856306680637354,0.9249557394226261,0.867146005708703,2020-03-09,2020
2020-03-10 15:15:00-04:00,up,285.84,0.6018371872030359,1.5831904939053987,-0.6961936747830788,0.24839070808845382,0.9165966974531025,0.22390148334734233,0.2973691575706769,0.9165966974531025,0.9095997760985247,0.9375874615169351,0.9165966974531025,0.9095997760985247,0.9375874615169351,0.9165966974531025,2020-03-10,2020
2020-03-10 15:25:00-04:00,dn,284.21,-0.5215260763038132,1.683546188464022,-0.2955561028816832,0.34833397839623953,0.6790753316209869,-1.4883360895112834,0.34833397839623953,1.5164842897857227,-1.4883360895112834,0.34833397839623953,1.5164842897857227,-1.4883360895112834,0.34833397839623953,1.5164842897857227,2020-03-10,2020
2020-03-11 15:25:00-04:00,up,272.86,0.7012105107765176,1.8547798616467934,0.7806200982188651,1.2717144323095984,0.16858462215056672,0.5497324635344132,1.2717144323095984,0.16858462215056672,0.5497324635344132,1.2717144323095984,0.16858462215056672,0.5497324635344132,1.2717144323095984,0.16858462215056672,2020-03-11,2020
2020-03-12 12:50:00-04:00,up,255.85,1.9444555126110652,2.0177654259801114,2.986124682431118,4.22513191323042,0.17393003713112887,1.0709400039085326,4.22513191323042,0.17393003713112887,-0.16806722689075898,4.22513191323042,1.0357631424662912,-3.0291186241938637,4.22513191323042,3.1932773109243646,2020-03-12,2020
2020-03-12 13:10:00-04:00,dn,259.35,-1.5712171239895212,1.9718009756185664,0.2911123963755525,0.8212839791787142,0.33930981299402174,1.8893387314440075,2.3713128976287,0.33930981299402174,1.9703103913630278,2.3713128976287,0.33930981299402174,4.337767495662243,4.499710815500295,0.33930981299402174,2020-03-12,2020
2020-03-12 13:35:00-04:00,dn,253.8298,-1.3486980178779695,1.4363975640254134,-0.6264827849212274,0.2481190151826213,1.4735070507875698,-0.7511332396747732,0.2481190151826213,1.6429119039608406,0.5672304827880806,0.7720921656952814,1.6429119039608406,2.257339366772543,2.4228045721975904,1.6429119039608406,2020-03-12,2020
2020-03-13 14:40:00-04:00,up,256.94,1.0470049084131183,1.2719498139091188,0.03113567369813345,0.09729898030668638,0.537090371292907,0.3561142679224802,0.786175760878019,0.537090371292907,1.506188215147507,1.677434420487274,1.440024908538954,5.4448509379621735,5.503230326146177,1.440024908538954,2020-03-13,2020
2020-03-16 14:30:00-04:00,up,250.14,1.4355231143552194,1.8099313584537902,-1.1513552410650019,0.3597985128328159,3.741904533461256,-0.6196529943231722,0.3597985128328159,3.741904533461256,-2.6505157112017255,0.3597985128328159,3.741904533461256,-4.289597825217874,0.3597985128328159,4.533461261693442,2020-03-16,2020
2020-03-17 12:05:00-04:00,up,255.05,1.4316961622589108,1.7510791083978758,-1.3683591452656376,0.4391295824348184,1.619290335228396,-2.2309351107625943,0.4391295824348184,2.348559106057639,-2.919035483238589,0.4391295824348184,3.0346990786120402,-0.3371887865124539,0.4391295824348184,3.9207998431680062,2020-03-17,2020
2020-03-17 12:15:00-04:00,dn,253.89,-0.7854630715123156,1.216544980028182,1.2111544369608842,1.5400370239079904,0.04726456339359745,1.9496632399858165,2.1761392729134577,0.04726456339359745,2.9461577848674585,3.481822836661537,0.04726456339359745,-0.11816140848399362,3.481822836661537,0.37417779353263897,2020-03-17,2020
2020-03-17 15:00:00-04:00,dn,248.105,-1.1563399500014948,1.6230621455783658,-0.5219564297374161,0.40507043388887587,1.0499586868463024,-0.5582313939662721,0.40507043388887587,1.0499586868463024,-2.4525906370286807,0.40507043388887587,2.5573849781342575,-2.4525906370286807,0.40507043388887587,2.5573849781342575,2020-03-17,2020
