symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2026-03-31,645.0,PUT,2026-03-31T09:30:00.000,6.45,7.13,5.96,5.98,638,73,6.46
SPY,2026-03-31,645.0,PUT,2026-03-31T09:35:00.000,5.95,6.67,5.9,5.9,1603,190,6.18
SPY,2026-03-31,645.0,PUT,2026-03-31T09:40:00.000,5.75,6.32,5.21,6.28,366,76,6.11
SPY,2026-03-31,645.0,PUT,2026-03-31T09:45:00.000,6.05,6.05,4.2,4.2,1655,146,5.7
SPY,2026-03-31,645.0,PUT,2026-03-31T09:50:00.000,4.24,4.52,3.72,3.72,744,113,5.49
SPY,2026-03-31,645.0,PUT,2026-03-31T09:55:00.000,3.83,4.44,3.55,3.55,614,138,5.33
SPY,2026-03-31,645.0,PUT,2026-03-31T10:00:00.000,3.53,3.91,3.33,3.7,989,183,5.08
SPY,2026-03-31,645.0,PUT,2026-03-31T10:05:00.000,3.71,4.57,3.71,4.5,1522,207,4.91
SPY,2026-03-31,645.0,PUT,2026-03-31T10:10:00.000,4.52,4.54,3.93,4.14,507,90,4.88
SPY,2026-03-31,645.0,PUT,2026-03-31T10:15:00.000,4.19,4.61,3.59,3.85,483,74,4.84
SPY,2026-03-31,645.0,PUT,2026-03-31T10:20:00.000,3.95,4.67,3.5,3.69,598,86,4.79
SPY,2026-03-31,645.0,PUT,2026-03-31T10:25:00.000,3.8,3.92,3.33,3.4,336,79,4.75
SPY,2026-03-31,645.0,PUT,2026-03-31T10:30:00.000,3.41,3.85,3.3,3.54,487,93,4.7
SPY,2026-03-31,645.0,PUT,2026-03-31T10:35:00.000,3.52,4.68,3.45,4.5,689,135,4.67
SPY,2026-03-31,645.0,PUT,2026-03-31T10:40:00.000,4.48,5.35,4.13,5.12,923,152,4.68
SPY,2026-03-31,645.0,PUT,2026-03-31T10:45:00.000,5.12,5.94,5.0,5.8,731,106,4.72
SPY,2026-03-31,645.0,PUT,2026-03-31T10:50:00.000,5.84,6.67,5.84,6.54,636,76,4.78
SPY,2026-03-31,645.0,PUT,2026-03-31T10:55:00.000,6.59,7.15,6.55,6.55,226,52,4.82
SPY,2026-03-31,645.0,PUT,2026-03-31T11:00:00.000,6.46,6.46,5.2,5.38,300,49,4.84
SPY,2026-03-31,645.0,PUT,2026-03-31T11:05:00.000,5.25,5.25,4.31,4.89,713,91,4.83
SPY,2026-03-31,645.0,PUT,2026-03-31T11:10:00.000,4.85,5.03,3.64,3.7,275,59,4.82
SPY,2026-03-31,645.0,PUT,2026-03-31T11:15:00.000,3.6,4.02,3.5,3.86,624,109,4.78
SPY,2026-03-31,645.0,PUT,2026-03-31T11:20:00.000,4.06,4.53,3.81,3.82,259,66,4.77
SPY,2026-03-31,645.0,PUT,2026-03-31T11:25:00.000,3.83,4.81,3.74,4.6,449,70,4.76
SPY,2026-03-31,645.0,PUT,2026-03-31T11:30:00.000,4.75,5.3,4.69,4.7,629,73,4.77
SPY,2026-03-31,645.0,PUT,2026-03-31T11:35:00.000,4.47,4.55,4.19,4.51,229,32,4.76
SPY,2026-03-31,645.0,PUT,2026-03-31T11:40:00.000,4.36,4.75,4.36,4.59,162,26,4.76
SPY,2026-03-31,645.0,PUT,2026-03-31T11:45:00.000,4.61,5.17,4.61,4.84,539,61,4.77
SPY,2026-03-31,645.0,PUT,2026-03-31T11:50:00.000,4.99,5.0,4.2,4.76,659,64,4.76
SPY,2026-03-31,645.0,PUT,2026-03-31T11:55:00.000,4.55,5.5,4.55,5.5,485,65,4.77
SPY,2026-03-31,645.0,PUT,2026-03-31T12:00:00.000,5.5,5.64,4.25,4.65,532,74,4.77
SPY,2026-03-31,645.0,PUT,2026-03-31T12:05:00.000,4.56,4.56,3.8,4.04,335,44,4.76
SPY,2026-03-31,645.0,PUT,2026-03-31T12:10:00.000,4.03,4.8,4.0,4.04,627,63,4.75
SPY,2026-03-31,645.0,PUT,2026-03-31T12:15:00.000,4.08,4.08,3.62,3.88,536,78,4.72
SPY,2026-03-31,645.0,PUT,2026-03-31T12:20:00.000,3.88,3.99,3.25,3.25,272,47,4.71
SPY,2026-03-31,645.0,PUT,2026-03-31T12:25:00.000,3.25,3.5,3.08,3.32,266,59,4.69
SPY,2026-03-31,645.0,PUT,2026-03-31T12:30:00.000,3.43,3.72,3.43,3.49,415,63,4.67
SPY,2026-03-31,645.0,PUT,2026-03-31T12:35:00.000,3.53,3.73,1.88,1.9,1785,202,4.5
SPY,2026-03-31,645.0,PUT,2026-03-31T12:40:00.000,1.92,1.92,1.12,1.46,12838,1589,3.42
SPY,2026-03-31,645.0,PUT,2026-03-31T12:45:00.000,1.52,2.07,1.15,1.45,19051,2096,2.86
SPY,2026-03-31,645.0,PUT,2026-03-31T12:50:00.000,1.46,1.92,1.07,1.35,11049,1162,2.62
SPY,2026-03-31,645.0,PUT,2026-03-31T12:55:00.000,1.34,1.63,1.14,1.18,7287,939,2.5
SPY,2026-03-31,645.0,PUT,2026-03-31T13:00:00.000,1.16,1.18,0.74,0.83,11853,900,2.28
SPY,2026-03-31,645.0,PUT,2026-03-31T13:05:00.000,0.81,1.33,0.8,1.24,12078,991,2.12
SPY,2026-03-31,645.0,PUT,2026-03-31T13:10:00.000,1.23,1.3,0.84,0.88,5903,711,2.06
SPY,2026-03-31,645.0,PUT,2026-03-31T13:15:00.000,0.86,0.87,0.69,0.73,7297,560,1.98
SPY,2026-03-31,645.0,PUT,2026-03-31T13:20:00.000,0.72,0.85,0.66,0.76,5630,409,1.92
SPY,2026-03-31,645.0,PUT,2026-03-31T13:25:00.000,0.75,0.98,0.73,0.91,5183,661,1.88
SPY,2026-03-31,645.0,PUT,2026-03-31T13:30:00.000,0.88,0.92,0.6,0.62,5684,430,1.83
SPY,2026-03-31,645.0,PUT,2026-03-31T13:35:00.000,0.63,1.23,0.58,0.99,11119,1150,1.76
SPY,2026-03-31,645.0,PUT,2026-03-31T13:40:00.000,0.97,1.14,0.76,0.99,7663,677,1.72
SPY,2026-03-31,645.0,PUT,2026-03-31T13:45:00.000,0.99,1.05,0.74,0.79,5596,429,1.69
SPY,2026-03-31,645.0,PUT,2026-03-31T13:50:00.000,0.78,0.84,0.71,0.74,2152,250,1.67
SPY,2026-03-31,645.0,PUT,2026-03-31T13:55:00.000,0.76,1.08,0.74,0.97,4808,593,1.65
SPY,2026-03-31,645.0,PUT,2026-03-31T14:00:00.000,0.95,0.95,0.6,0.69,7142,551,1.61
SPY,2026-03-31,645.0,PUT,2026-03-31T14:05:00.000,0.69,0.69,0.48,0.5,4847,332,1.58
