timestamp,open,high,low,close,volume,count,vwap
2023-06-01T09:30:00.000,418.09,418.28,417.18,417.22,1736986,16428,417.64
2023-06-01T09:35:00.000,417.22,417.67,417.03,417.66,1517031,12912,417.49
2023-06-01T09:40:00.000,417.66,417.68,417.12,417.32,955164,9772,417.47
2023-06-01T09:45:00.000,417.32,417.34,416.92,417.18,1012972,10745,417.41
2023-06-01T09:50:00.000,417.18,417.31,416.79,417.0792,1128872,11555,417.35
2023-06-01T09:55:00.000,417.07,417.39,416.87,417.2,1043424,11301,417.32
2023-06-01T10:00:00.000,417.27,418.08,417.21,417.865,1408491,14537,417.36
2023-06-01T10:05:00.000,417.87,418.2847,417.8492,418.07,1010232,9814,417.44
2023-06-01T10:10:00.000,418.1,418.56,418.03,418.52,974940,9971,417.51
2023-06-01T10:15:00.000,418.515,418.75,417.88,418.01,1791915,14881,417.62
2023-06-01T10:20:00.000,418.01,418.07,417.51,417.6075,778921,8945,417.63
2023-06-01T10:25:00.000,417.6192,418.11,417.4101,418.01,1192019,8984,417.64
2023-06-01T10:30:00.000,418.01,418.16,417.87,418.05,792088,6185,417.65
2023-06-01T10:35:00.000,418.08,418.48,417.99,418.415,544594,5260,417.67
2023-06-01T10:40:00.000,418.41,419.28,418.3597,419.2,1557626,13095,417.8
2023-06-01T10:45:00.000,419.19,419.75,418.98,419.27,1975640,15756,417.97
2023-06-01T10:50:00.000,419.3,419.52,419.225,419.465,745456,7331,418.02
2023-06-01T10:55:00.000,419.47,419.56,419.265,419.37,964296,8575,418.09
2023-06-01T11:00:00.000,419.38,419.51,419.18,419.42,667265,6500,418.13
2023-06-01T11:05:00.000,419.43,419.59,419.2665,419.34,558333,5264,418.16
2023-06-01T11:10:00.000,419.33,419.9,419.25,419.8,1096396,8656,418.23
2023-06-01T11:15:00.000,419.81,420.31,419.81,419.93,1438682,11513,418.35
2023-06-01T11:20:00.000,419.93,420.11,419.69,420.1,985135,7623,418.41
2023-06-01T11:25:00.000,420.1018,420.31,419.97,420.17,755360,6791,418.46
2023-06-01T11:30:00.000,420.18,420.5,420.09,420.36,889364,7716,418.52
2023-06-01T11:35:00.000,420.37,420.58,420.18,420.2384,818463,7052,418.57
2023-06-01T11:40:00.000,420.23,420.71,420.205,420.54,875282,8352,418.63
2023-06-01T11:45:00.000,420.55,420.83,420.51,420.7913,690703,6065,418.68
2023-06-01T11:50:00.000,420.8,421.06,420.71,420.87,1065631,9299,418.76
2023-06-01T11:55:00.000,420.8899,421.0942,420.78,421.055,942820,8360,418.82
2023-06-01T12:00:00.000,421.06,421.51,421.06,421.23,1360087,10824,418.92
2023-06-01T12:05:00.000,421.23,421.35,421.09,421.26,1368145,9632,419.02
2023-06-01T12:10:00.000,421.2523,421.4,421.16,421.3,1028324,6871,419.07
2023-06-01T12:15:00.000,421.31,421.56,421.14,421.5,624114,6025,419.11
2023-06-01T12:20:00.000,421.51,421.845,421.451,421.655,1211142,9615,419.2
2023-06-01T12:25:00.000,421.65,421.74,421.58,421.74,542647,5053,419.23
2023-06-01T12:30:00.000,421.75,421.81,421.54,421.6,1320105,5975,419.28
2023-06-01T12:35:00.000,421.61,421.73,421.54,421.66,583097,4855,419.32
2023-06-01T12:40:00.000,421.67,421.7,421.49,421.51,531906,4900,419.35
2023-06-01T12:45:00.000,421.5099,421.63,421.2625,421.62,831733,5169,419.38
