symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2026-06-09,735.0,PUT,2026-06-09T09:30:00.000,0.12,0.16,0.11,0.12,2000,313,0.12
SPY,2026-06-09,735.0,PUT,2026-06-09T09:35:00.000,0.13,0.13,0.09,0.11,1816,201,0.11
SPY,2026-06-09,735.0,PUT,2026-06-09T09:40:00.000,0.1,0.11,0.08,0.08,582,100,0.11
SPY,2026-06-09,735.0,PUT,2026-06-09T09:45:00.000,0.08,0.09,0.07,0.07,450,86,0.1
SPY,2026-06-09,735.0,PUT,2026-06-09T09:50:00.000,0.07,0.1,0.07,0.1,535,110,0.1
SPY,2026-06-09,735.0,PUT,2026-06-09T09:55:00.000,0.1,0.12,0.09,0.12,1651,146,0.1
SPY,2026-06-09,735.0,PUT,2026-06-09T10:00:00.000,0.12,0.15,0.08,0.12,1401,169,0.1
SPY,2026-06-09,735.0,PUT,2026-06-09T10:05:00.000,0.13,0.13,0.09,0.11,1293,112,0.1
SPY,2026-06-09,735.0,PUT,2026-06-09T10:10:00.000,0.12,0.43,0.11,0.38,5995,707,0.16
SPY,2026-06-09,735.0,PUT,2026-06-09T10:15:00.000,0.39,0.82,0.32,0.62,12568,1684,0.35
SPY,2026-06-09,735.0,PUT,2026-06-09T10:20:00.000,0.66,0.8,0.31,0.32,7090,1039,0.39
SPY,2026-06-09,735.0,PUT,2026-06-09T10:25:00.000,0.32,0.45,0.28,0.39,4550,593,0.39
SPY,2026-06-09,735.0,PUT,2026-06-09T10:30:00.000,0.4,0.53,0.32,0.39,5103,700,0.39
SPY,2026-06-09,735.0,PUT,2026-06-09T10:35:00.000,0.4,0.49,0.32,0.41,2532,462,0.39
SPY,2026-06-09,735.0,PUT,2026-06-09T10:40:00.000,0.4,1.09,0.35,0.96,8138,1162,0.44
SPY,2026-06-09,735.0,PUT,2026-06-09T10:45:00.000,0.96,2.74,0.86,2.58,23883,4159,0.85
SPY,2026-06-09,735.0,PUT,2026-06-09T10:50:00.000,2.58,2.93,1.7,1.72,21530,3605,1.17
SPY,2026-06-09,735.0,PUT,2026-06-09T10:55:00.000,1.71,2.07,1.22,1.22,10688,1727,1.21
SPY,2026-06-09,735.0,PUT,2026-06-09T11:00:00.000,1.21,1.49,1.05,1.42,12874,1423,1.22
SPY,2026-06-09,735.0,PUT,2026-06-09T11:05:00.000,1.41,1.77,0.99,1.02,12540,1677,1.24
SPY,2026-06-09,735.0,PUT,2026-06-09T11:10:00.000,1.02,1.45,0.88,1.16,8595,1270,1.23
SPY,2026-06-09,735.0,PUT,2026-06-09T11:15:00.000,1.18,1.65,1.09,1.61,10245,1655,1.24
SPY,2026-06-09,735.0,PUT,2026-06-09T11:20:00.000,1.64,2.76,1.41,2.76,24680,3523,1.37
SPY,2026-06-09,735.0,PUT,2026-06-09T11:25:00.000,2.76,5.2,2.68,5.0,12784,2154,1.5
SPY,2026-06-09,735.0,PUT,2026-06-09T11:30:00.000,5.01,5.37,4.31,5.1,5383,916,1.59
SPY,2026-06-09,735.0,PUT,2026-06-09T11:35:00.000,4.73,5.22,4.32,4.4,1137,254,1.61
SPY,2026-06-09,735.0,PUT,2026-06-09T11:40:00.000,4.5,4.58,3.68,4.28,2095,403,1.64
SPY,2026-06-09,735.0,PUT,2026-06-09T11:45:00.000,4.02,4.3,3.87,3.96,477,125,1.64
SPY,2026-06-09,735.0,PUT,2026-06-09T11:50:00.000,4.05,4.71,3.46,4.64,849,158,1.65
SPY,2026-06-09,735.0,PUT,2026-06-09T11:55:00.000,4.66,6.53,4.56,6.34,1530,224,1.68
SPY,2026-06-09,735.0,PUT,2026-06-09T12:00:00.000,6.36,6.4,5.11,5.86,386,111,1.69
SPY,2026-06-09,735.0,PUT,2026-06-09T12:05:00.000,5.9,7.5,5.8,7.04,370,133,1.7
SPY,2026-06-09,735.0,PUT,2026-06-09T12:10:00.000,6.82,7.5,6.21,6.96,626,93,1.71
SPY,2026-06-09,735.0,PUT,2026-06-09T12:15:00.000,7.01,9.45,6.81,9.2,755,102,1.74
SPY,2026-06-09,735.0,PUT,2026-06-09T12:20:00.000,9.31,9.83,7.79,7.79,273,87,1.75
SPY,2026-06-09,735.0,PUT,2026-06-09T12:25:00.000,7.75,8.39,7.21,7.95,264,69,1.76
SPY,2026-06-09,735.0,PUT,2026-06-09T12:30:00.000,8.06,8.88,6.92,8.0,140,59,1.76
SPY,2026-06-09,735.0,PUT,2026-06-09T12:35:00.000,7.92,12.13,7.05,11.81,1186,70,1.81
SPY,2026-06-09,735.0,PUT,2026-06-09T12:40:00.000,12.42,12.42,10.47,10.65,161,59,1.82
SPY,2026-06-09,735.0,PUT,2026-06-09T12:45:00.000,10.54,10.93,9.43,10.25,465,33,1.84
