symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2025-04-04,520.0,CALL,2025-04-04T09:30:00.000,7.5,8.25,6.36,7.0,221,58,7.69
SPY,2025-04-04,520.0,CALL,2025-04-04T09:35:00.000,6.98,6.98,5.41,5.73,771,112,6.47
SPY,2025-04-04,520.0,CALL,2025-04-04T09:40:00.000,5.6,5.6,4.47,5.02,2515,494,5.46
SPY,2025-04-04,520.0,CALL,2025-04-04T09:45:00.000,5.07,6.45,4.71,5.44,2578,404,5.56
SPY,2025-04-04,520.0,CALL,2025-04-04T09:50:00.000,5.48,6.5,5.41,5.41,785,147,5.6
SPY,2025-04-04,520.0,CALL,2025-04-04T09:55:00.000,5.39,7.05,5.0,6.44,1491,199,5.64
SPY,2025-04-04,520.0,CALL,2025-04-04T10:00:00.000,6.18,6.24,5.3,5.5,630,95,5.65
SPY,2025-04-04,520.0,CALL,2025-04-04T10:05:00.000,5.38,5.38,4.03,4.1,1669,350,5.48
SPY,2025-04-04,520.0,CALL,2025-04-04T10:10:00.000,4.05,4.07,3.11,3.29,3331,624,5.0
SPY,2025-04-04,520.0,CALL,2025-04-04T10:15:00.000,3.22,3.61,2.7,3.39,3716,777,4.63
SPY,2025-04-04,520.0,CALL,2025-04-04T10:20:00.000,3.35,3.7,2.73,2.91,5030,782,4.34
SPY,2025-04-04,520.0,CALL,2025-04-04T10:25:00.000,2.93,3.04,2.3,2.35,2487,537,4.18
SPY,2025-04-04,520.0,CALL,2025-04-04T10:30:00.000,2.31,2.76,2.11,2.13,4228,635,3.93
SPY,2025-04-04,520.0,CALL,2025-04-04T10:35:00.000,2.12,2.39,1.88,2.26,5064,775,3.66
SPY,2025-04-04,520.0,CALL,2025-04-04T10:40:00.000,2.26,2.3,1.83,1.9,3564,695,3.51
SPY,2025-04-04,520.0,CALL,2025-04-04T10:45:00.000,1.9,1.91,1.41,1.48,8258,901,3.16
SPY,2025-04-04,520.0,CALL,2025-04-04T10:50:00.000,1.46,2.25,1.33,2.07,7791,1206,2.98
SPY,2025-04-04,520.0,CALL,2025-04-04T10:55:00.000,2.04,2.57,1.88,2.34,8116,1066,2.88
SPY,2025-04-04,520.0,CALL,2025-04-04T11:00:00.000,2.33,4.6,2.15,4.33,9525,1946,2.98
SPY,2025-04-04,520.0,CALL,2025-04-04T11:05:00.000,4.36,4.55,3.15,3.59,4774,972,3.02
SPY,2025-04-04,520.0,CALL,2025-04-04T11:10:00.000,3.6,5.2,3.41,4.62,6155,1267,3.13
SPY,2025-04-04,520.0,CALL,2025-04-04T11:15:00.000,4.61,5.58,4.1,4.1,4462,622,3.22
SPY,2025-04-04,520.0,CALL,2025-04-04T11:20:00.000,4.09,5.08,4.07,4.78,1346,333,3.24
SPY,2025-04-04,520.0,CALL,2025-04-04T11:25:00.000,4.75,4.75,2.46,2.48,3957,614,3.24
SPY,2025-04-04,520.0,CALL,2025-04-04T11:30:00.000,2.48,3.03,2.27,2.47,1905,369,3.22
SPY,2025-04-04,520.0,CALL,2025-04-04T11:35:00.000,2.46,2.46,1.71,1.99,3295,561,3.18
SPY,2025-04-04,520.0,CALL,2025-04-04T11:40:00.000,1.92,2.43,1.84,2.18,2903,426,3.15
SPY,2025-04-04,520.0,CALL,2025-04-04T11:45:00.000,2.18,2.8,1.87,2.65,4292,632,3.12
SPY,2025-04-04,520.0,CALL,2025-04-04T11:50:00.000,2.66,2.9,1.98,2.17,2236,477,3.11
SPY,2025-04-04,520.0,CALL,2025-04-04T11:55:00.000,2.22,2.51,1.45,1.51,2961,374,3.08
SPY,2025-04-04,520.0,CALL,2025-04-04T12:00:00.000,1.5,1.96,1.5,1.57,2241,330,3.05
SPY,2025-04-04,520.0,CALL,2025-04-04T12:05:00.000,1.53,2.22,1.53,1.56,2104,327,3.03
SPY,2025-04-04,520.0,CALL,2025-04-04T12:10:00.000,1.58,2.15,1.52,1.81,3080,280,3.0
SPY,2025-04-04,520.0,CALL,2025-04-04T12:15:00.000,1.89,1.99,0.99,1.03,3698,574,2.95
SPY,2025-04-04,520.0,CALL,2025-04-04T12:20:00.000,1.03,1.12,0.87,1.0,2042,344,2.92
SPY,2025-04-04,520.0,CALL,2025-04-04T12:25:00.000,1.02,1.03,0.82,0.84,1432,233,2.89
SPY,2025-04-04,520.0,CALL,2025-04-04T12:30:00.000,0.83,0.88,0.62,0.63,2508,345,2.85
SPY,2025-04-04,520.0,CALL,2025-04-04T12:35:00.000,0.61,1.05,0.58,0.97,4144,510,2.79
SPY,2025-04-04,520.0,CALL,2025-04-04T12:40:00.000,0.98,1.1,0.67,0.72,3898,451,2.73
SPY,2025-04-04,520.0,CALL,2025-04-04T12:45:00.000,0.73,0.74,0.59,0.63,2327,259,2.7
SPY,2025-04-04,520.0,CALL,2025-04-04T12:50:00.000,0.63,0.82,0.58,0.7,2357,241,2.66
SPY,2025-04-04,520.0,CALL,2025-04-04T12:55:00.000,0.69,0.8,0.62,0.64,1816,231,2.64
SPY,2025-04-04,520.0,CALL,2025-04-04T13:00:00.000,0.62,0.85,0.56,0.62,2102,232,2.61
SPY,2025-04-04,520.0,CALL,2025-04-04T13:05:00.000,0.64,0.67,0.55,0.56,2965,232,2.57
SPY,2025-04-04,520.0,CALL,2025-04-04T13:10:00.000,0.59,0.59,0.45,0.47,3879,452,2.52
SPY,2025-04-04,520.0,CALL,2025-04-04T13:15:00.000,0.46,0.47,0.37,0.39,3806,349,2.46
SPY,2025-04-04,520.0,CALL,2025-04-04T13:20:00.000,0.42,0.51,0.38,0.5,2466,280,2.43
SPY,2025-04-04,520.0,CALL,2025-04-04T13:25:00.000,0.51,0.63,0.47,0.51,3015,262,2.4
SPY,2025-04-04,520.0,CALL,2025-04-04T13:30:00.000,0.48,0.57,0.34,0.55,1812,247,2.37
SPY,2025-04-04,520.0,CALL,2025-04-04T13:35:00.000,0.52,0.83,0.52,0.72,3135,411,2.34
SPY,2025-04-04,520.0,CALL,2025-04-04T13:40:00.000,0.72,0.83,0.59,0.59,3266,484,2.31
SPY,2025-04-04,520.0,CALL,2025-04-04T13:45:00.000,0.61,0.87,0.54,0.82,2663,326,2.29
SPY,2025-04-04,520.0,CALL,2025-04-04T13:50:00.000,0.84,0.85,0.57,0.65,1329,255,2.27
SPY,2025-04-04,520.0,CALL,2025-04-04T13:55:00.000,0.64,0.77,0.5,0.77,2149,284,2.25
SPY,2025-04-04,520.0,CALL,2025-04-04T14:00:00.000,0.8,1.1,0.79,0.87,6024,759,2.21
SPY,2025-04-04,520.0,CALL,2025-04-04T14:05:00.000,0.8,0.85,0.46,0.49,2248,346,2.19
SPY,2025-04-04,520.0,CALL,2025-04-04T14:10:00.000,0.49,0.51,0.34,0.35,2558,256,2.16
SPY,2025-04-04,520.0,CALL,2025-04-04T14:15:00.000,0.36,0.36,0.29,0.32,1020,175,2.15
