symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2025-04-09,531.0,CALL,2025-04-09T09:30:00.000,0.08,0.11,0.07,0.09,1005,109,0.09
SPY,2025-04-09,531.0,CALL,2025-04-09T09:35:00.000,0.09,0.14,0.07,0.14,416,57,0.09
SPY,2025-04-09,531.0,CALL,2025-04-09T09:40:00.000,0.15,0.25,0.12,0.13,888,118,0.13
SPY,2025-04-09,531.0,CALL,2025-04-09T09:45:00.000,0.13,0.14,0.11,0.14,459,64,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T09:50:00.000,0.14,0.18,0.14,0.16,351,41,0.13
SPY,2025-04-09,531.0,CALL,2025-04-09T09:55:00.000,0.17,0.18,0.14,0.14,126,27,0.13
SPY,2025-04-09,531.0,CALL,2025-04-09T10:00:00.000,0.16,0.19,0.13,0.13,112,49,0.13
SPY,2025-04-09,531.0,CALL,2025-04-09T10:05:00.000,0.12,0.12,0.09,0.09,672,68,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:10:00.000,0.09,0.1,0.07,0.07,164,32,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:15:00.000,0.08,0.08,0.07,0.07,117,16,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:20:00.000,0.07,0.07,0.06,0.07,27,13,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:25:00.000,0.06,0.07,0.05,0.07,235,36,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:30:00.000,0.06,0.08,0.06,0.07,19,10,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:35:00.000,0.08,0.08,0.06,0.06,109,16,0.12
SPY,2025-04-09,531.0,CALL,2025-04-09T10:40:00.000,0.06,0.06,0.05,0.05,64,19,0.11
SPY,2025-04-09,531.0,CALL,2025-04-09T10:45:00.000,0.05,0.07,0.05,0.05,24,8,0.11
SPY,2025-04-09,531.0,CALL,2025-04-09T10:50:00.000,0.05,0.05,0.02,0.02,204,35,0.11
SPY,2025-04-09,531.0,CALL,2025-04-09T10:55:00.000,0.03,0.03,0.02,0.02,102,10,0.11
SPY,2025-04-09,531.0,CALL,2025-04-09T11:00:00.000,0.03,0.03,0.02,0.03,259,9,0.1
SPY,2025-04-09,531.0,CALL,2025-04-09T11:05:00.000,0.03,0.03,0.03,0.03,46,4,0.1
SPY,2025-04-09,531.0,CALL,2025-04-09T11:10:00.000,0.03,0.04,0.03,0.04,64,16,0.1
SPY,2025-04-09,531.0,CALL,2025-04-09T11:15:00.000,0.04,0.04,0.03,0.03,10,4,0.1
