symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2026-05-21,740.0,CALL,2026-05-21T09:30:00.000,1.56,1.58,1.24,1.53,7062,1221,1.38
SPY,2026-05-21,740.0,CALL,2026-05-21T09:35:00.000,1.53,1.53,1.14,1.17,8405,1649,1.34
SPY,2026-05-21,740.0,CALL,2026-05-21T09:40:00.000,1.16,1.34,1.1,1.15,7243,1284,1.3
SPY,2026-05-21,740.0,CALL,2026-05-21T09:45:00.000,1.15,1.38,1.07,1.12,8273,1489,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T09:50:00.000,1.12,2.04,1.12,1.96,23147,4307,1.45
SPY,2026-05-21,740.0,CALL,2026-05-21T09:55:00.000,1.95,2.2,1.64,1.96,19841,3519,1.58
SPY,2026-05-21,740.0,CALL,2026-05-21T10:00:00.000,1.94,2.33,1.87,2.0,18426,3329,1.68
SPY,2026-05-21,740.0,CALL,2026-05-21T10:05:00.000,2.0,2.18,1.8,2.16,9108,1788,1.71
SPY,2026-05-21,740.0,CALL,2026-05-21T10:10:00.000,2.16,2.19,1.56,1.67,10966,1950,1.72
SPY,2026-05-21,740.0,CALL,2026-05-21T10:15:00.000,1.65,1.7,1.25,1.27,17049,2600,1.68
SPY,2026-05-21,740.0,CALL,2026-05-21T10:20:00.000,1.26,1.28,1.04,1.1,15969,2096,1.62
SPY,2026-05-21,740.0,CALL,2026-05-21T10:25:00.000,1.1,1.25,1.05,1.23,6466,1080,1.6
SPY,2026-05-21,740.0,CALL,2026-05-21T10:30:00.000,1.23,1.52,1.08,1.2,12915,1883,1.58
SPY,2026-05-21,740.0,CALL,2026-05-21T10:35:00.000,1.19,1.42,1.17,1.3,4906,963,1.57
SPY,2026-05-21,740.0,CALL,2026-05-21T10:40:00.000,1.31,1.35,0.97,1.15,10492,1736,1.55
SPY,2026-05-21,740.0,CALL,2026-05-21T10:45:00.000,1.17,1.24,0.86,1.01,7772,1002,1.53
SPY,2026-05-21,740.0,CALL,2026-05-21T10:50:00.000,1.0,1.13,0.89,1.11,7019,799,1.51
SPY,2026-05-21,740.0,CALL,2026-05-21T10:55:00.000,1.13,1.32,1.06,1.22,8332,1116,1.49
SPY,2026-05-21,740.0,CALL,2026-05-21T11:00:00.000,1.22,1.29,1.01,1.06,6592,1016,1.48
SPY,2026-05-21,740.0,CALL,2026-05-21T11:05:00.000,1.06,1.08,0.71,0.82,14850,1626,1.44
SPY,2026-05-21,740.0,CALL,2026-05-21T11:10:00.000,0.82,1.38,0.65,1.19,17616,1898,1.41
SPY,2026-05-21,740.0,CALL,2026-05-21T11:15:00.000,1.2,1.28,1.07,1.18,8063,954,1.4
SPY,2026-05-21,740.0,CALL,2026-05-21T11:20:00.000,1.18,1.28,1.03,1.06,9197,1103,1.39
SPY,2026-05-21,740.0,CALL,2026-05-21T11:25:00.000,1.05,1.12,0.97,1.01,4434,589,1.38
SPY,2026-05-21,740.0,CALL,2026-05-21T11:30:00.000,1.02,1.06,0.67,0.72,8975,1006,1.37
SPY,2026-05-21,740.0,CALL,2026-05-21T11:35:00.000,0.71,1.01,0.69,1.0,6753,781,1.35
SPY,2026-05-21,740.0,CALL,2026-05-21T11:40:00.000,1.0,1.11,0.91,1.0,6662,825,1.35
SPY,2026-05-21,740.0,CALL,2026-05-21T11:45:00.000,1.02,1.24,1.01,1.21,11129,1607,1.34
SPY,2026-05-21,740.0,CALL,2026-05-21T11:50:00.000,1.22,1.26,1.09,1.13,7733,1129,1.33
SPY,2026-05-21,740.0,CALL,2026-05-21T11:55:00.000,1.12,1.17,0.95,0.97,6226,831,1.33
SPY,2026-05-21,740.0,CALL,2026-05-21T12:00:00.000,0.98,1.27,0.97,1.2,9461,1121,1.32
SPY,2026-05-21,740.0,CALL,2026-05-21T12:05:00.000,1.2,1.27,1.01,1.25,7130,909,1.32
SPY,2026-05-21,740.0,CALL,2026-05-21T12:10:00.000,1.25,1.25,0.96,1.03,10885,1123,1.31
SPY,2026-05-21,740.0,CALL,2026-05-21T12:15:00.000,1.03,1.06,0.87,0.9,9328,1201,1.3
SPY,2026-05-21,740.0,CALL,2026-05-21T12:20:00.000,0.9,0.97,0.63,0.75,12975,1291,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T12:25:00.000,0.75,0.78,0.67,0.72,12083,718,1.26
SPY,2026-05-21,740.0,CALL,2026-05-21T12:30:00.000,0.71,0.82,0.68,0.78,6036,761,1.26
SPY,2026-05-21,740.0,CALL,2026-05-21T12:35:00.000,0.78,0.82,0.57,0.66,13622,977,1.24
SPY,2026-05-21,740.0,CALL,2026-05-21T12:40:00.000,0.65,0.73,0.6,0.69,5335,451,1.23
SPY,2026-05-21,740.0,CALL,2026-05-21T12:45:00.000,0.71,0.78,0.52,0.56,7763,814,1.22
SPY,2026-05-21,740.0,CALL,2026-05-21T12:50:00.000,0.56,0.62,0.45,0.57,12519,798,1.2
SPY,2026-05-21,740.0,CALL,2026-05-21T12:55:00.000,0.56,0.63,0.55,0.62,3752,373,1.19
SPY,2026-05-21,740.0,CALL,2026-05-21T13:00:00.000,0.62,0.75,0.62,0.65,9699,983,1.18
SPY,2026-05-21,740.0,CALL,2026-05-21T13:05:00.000,0.66,0.72,0.62,0.64,3054,501,1.18
SPY,2026-05-21,740.0,CALL,2026-05-21T13:10:00.000,0.64,1.85,0.61,1.33,38614,4634,1.18
SPY,2026-05-21,740.0,CALL,2026-05-21T13:15:00.000,1.35,2.82,1.27,2.25,17173,3147,1.21
SPY,2026-05-21,740.0,CALL,2026-05-21T13:20:00.000,2.22,3.3,1.84,2.44,5669,1183,1.23
SPY,2026-05-21,740.0,CALL,2026-05-21T13:25:00.000,2.46,2.69,2.25,2.59,1535,297,1.23
SPY,2026-05-21,740.0,CALL,2026-05-21T13:30:00.000,2.55,2.96,2.38,2.64,2000,350,1.24
SPY,2026-05-21,740.0,CALL,2026-05-21T13:35:00.000,2.62,3.05,2.59,3.03,1304,220,1.24
SPY,2026-05-21,740.0,CALL,2026-05-21T13:40:00.000,3.05,3.76,3.05,3.69,2351,450,1.25
SPY,2026-05-21,740.0,CALL,2026-05-21T13:45:00.000,3.7,3.97,3.39,3.97,665,187,1.26
SPY,2026-05-21,740.0,CALL,2026-05-21T13:50:00.000,3.95,4.71,3.76,4.63,1405,227,1.27
SPY,2026-05-21,740.0,CALL,2026-05-21T13:55:00.000,4.74,4.95,3.84,3.86,1071,215,1.27
SPY,2026-05-21,740.0,CALL,2026-05-21T14:00:00.000,3.83,4.2,3.18,3.26,741,152,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T14:05:00.000,3.05,3.75,3.01,3.7,465,103,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T14:10:00.000,3.61,3.69,2.98,3.05,556,99,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T14:15:00.000,3.07,3.35,2.82,3.32,558,64,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T14:20:00.000,3.3,3.64,3.24,3.64,384,79,1.28
SPY,2026-05-21,740.0,CALL,2026-05-21T14:25:00.000,3.67,3.7,3.32,3.45,408,86,1.29
SPY,2026-05-21,740.0,CALL,2026-05-21T14:30:00.000,3.41,3.64,3.25,3.32,499,83,1.29
SPY,2026-05-21,740.0,CALL,2026-05-21T14:35:00.000,3.36,3.45,3.02,3.14,204,60,1.29
SPY,2026-05-21,740.0,CALL,2026-05-21T14:40:00.000,3.28,3.75,3.28,3.57,223,50,1.29
SPY,2026-05-21,740.0,CALL,2026-05-21T14:45:00.000,3.63,3.65,2.41,2.61,725,90,1.29
SPY,2026-05-21,740.0,CALL,2026-05-21T14:50:00.000,2.53,3.05,1.27,1.29,1800,290,1.29
SPY,2026-05-21,740.0,CALL,2026-05-21T14:55:00.000,1.32,1.54,1.17,1.51,7200,947,1.29
