symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2025-04-08,505.0,CALL,2025-04-08T09:30:00.000,18.1,19.04,16.47,16.74,415,155,17.7
SPY,2025-04-08,505.0,CALL,2025-04-08T09:35:00.000,16.94,16.94,14.54,15.51,282,45,16.78
SPY,2025-04-08,505.0,CALL,2025-04-08T09:40:00.000,14.95,16.5,14.89,16.13,166,32,16.6
SPY,2025-04-08,505.0,CALL,2025-04-08T09:45:00.000,15.99,17.29,15.57,15.79,94,24,16.59
SPY,2025-04-08,505.0,CALL,2025-04-08T09:50:00.000,15.94,17.74,14.98,17.0,33,17,16.58
SPY,2025-04-08,505.0,CALL,2025-04-08T09:55:00.000,17.5,18.8,17.5,18.42,23,17,16.61
SPY,2025-04-08,505.0,CALL,2025-04-08T10:00:00.000,18.35,19.08,18.35,18.95,12,8,16.63
SPY,2025-04-08,505.0,CALL,2025-04-08T10:05:00.000,19.23,19.66,18.62,19.66,26,8,16.69
SPY,2025-04-08,505.0,CALL,2025-04-08T10:10:00.000,19.78,19.88,18.66,19.4,114,11,16.92
SPY,2025-04-08,505.0,CALL,2025-04-08T10:15:00.000,19.21,20.32,19.21,19.52,21,12,16.97
SPY,2025-04-08,505.0,CALL,2025-04-08T10:20:00.000,19.63,20.16,19.0,19.0,12,9,17.0
SPY,2025-04-08,505.0,CALL,2025-04-08T10:25:00.000,18.76,20.27,18.53,20.27,48,7,17.06
SPY,2025-04-08,505.0,CALL,2025-04-08T10:30:00.000,18.66,18.8,18.66,18.8,5,2,17.07
SPY,2025-04-08,505.0,CALL,2025-04-08T10:35:00.000,18.99,19.32,18.99,19.32,57,5,17.15
SPY,2025-04-08,505.0,CALL,2025-04-08T10:40:00.000,19.12,19.12,17.62,17.62,10,9,17.16
SPY,2025-04-08,505.0,CALL,2025-04-08T10:45:00.000,17.5,17.5,16.9,16.9,13,3,17.17
SPY,2025-04-08,505.0,CALL,2025-04-08T10:50:00.000,16.55,16.55,15.66,15.81,4,3,17.16
SPY,2025-04-08,505.0,CALL,2025-04-08T10:55:00.000,15.45,15.45,14.06,14.06,20,8,17.13
SPY,2025-04-08,505.0,CALL,2025-04-08T11:00:00.000,14.28,15.0,14.0,14.84,8,7,17.12
SPY,2025-04-08,505.0,CALL,2025-04-08T11:05:00.000,14.51,14.51,13.2,13.4,18,6,17.07
SPY,2025-04-08,505.0,CALL,2025-04-08T11:10:00.000,13.76,13.76,11.84,12.01,29,18,16.98
SPY,2025-04-08,505.0,CALL,2025-04-08T11:15:00.000,12.15,12.2,10.75,11.32,43,14,16.8
SPY,2025-04-08,505.0,CALL,2025-04-08T11:20:00.000,12.0,12.75,10.79,10.8,52,21,16.64
SPY,2025-04-08,505.0,CALL,2025-04-08T11:25:00.000,10.6,11.27,10.58,10.58,37,17,16.5
SPY,2025-04-08,505.0,CALL,2025-04-08T11:30:00.000,11.55,11.72,11.55,11.72,7,2,16.48
SPY,2025-04-08,505.0,CALL,2025-04-08T11:35:00.000,12.35,13.6,12.24,13.15,36,16,16.4
SPY,2025-04-08,505.0,CALL,2025-04-08T11:40:00.000,13.3,14.03,13.3,13.46,10,7,16.38
SPY,2025-04-08,505.0,CALL,2025-04-08T11:45:00.000,13.37,13.37,12.44,12.55,29,8,16.32
SPY,2025-04-08,505.0,CALL,2025-04-08T11:50:00.000,11.28,11.28,10.52,10.52,27,4,16.23
SPY,2025-04-08,505.0,CALL,2025-04-08T11:55:00.000,11.67,11.67,11.67,11.67,3,1,16.22
SPY,2025-04-08,505.0,CALL,2025-04-08T12:00:00.000,12.38,12.38,12.38,12.38,1,1,16.22
SPY,2025-04-08,505.0,CALL,2025-04-08T12:05:00.000,12.65,12.65,11.48,12.01,133,96,15.89
SPY,2025-04-08,505.0,CALL,2025-04-08T12:10:00.000,12.01,12.57,12.01,12.11,12,4,15.87
SPY,2025-04-08,505.0,CALL,2025-04-08T12:15:00.000,11.24,11.24,9.5,9.69,44,16,15.72
SPY,2025-04-08,505.0,CALL,2025-04-08T12:20:00.000,9.62,9.86,8.62,8.62,36,12,15.6
SPY,2025-04-08,505.0,CALL,2025-04-08T12:25:00.000,8.59,10.04,8.59,10.04,70,12,15.38
SPY,2025-04-08,505.0,CALL,2025-04-08T12:30:00.000,10.25,10.25,8.0,9.28,83,17,15.12
SPY,2025-04-08,505.0,CALL,2025-04-08T12:35:00.000,8.63,8.63,6.48,6.5,123,18,14.7
SPY,2025-04-08,505.0,CALL,2025-04-08T12:40:00.000,6.6,6.95,5.82,6.43,317,42,13.61
SPY,2025-04-08,505.0,CALL,2025-04-08T12:45:00.000,6.27,7.8,6.15,7.48,321,35,12.81
SPY,2025-04-08,505.0,CALL,2025-04-08T12:50:00.000,7.43,7.43,6.44,6.44,154,19,12.49
SPY,2025-04-08,505.0,CALL,2025-04-08T12:55:00.000,6.71,7.05,5.22,5.22,357,51,11.76
SPY,2025-04-08,505.0,CALL,2025-04-08T13:00:00.000,5.29,5.58,4.75,5.4,470,66,10.93
SPY,2025-04-08,505.0,CALL,2025-04-08T13:05:00.000,5.5,5.76,3.93,3.98,925,154,9.65
SPY,2025-04-08,505.0,CALL,2025-04-08T13:10:00.000,4.02,4.24,3.35,4.06,3183,455,7.3
SPY,2025-04-08,505.0,CALL,2025-04-08T13:15:00.000,4.01,4.8,3.91,4.1,2324,388,6.64
SPY,2025-04-08,505.0,CALL,2025-04-08T13:20:00.000,4.06,4.22,3.31,3.63,2300,343,6.1
SPY,2025-04-08,505.0,CALL,2025-04-08T13:25:00.000,3.6,3.84,2.65,2.73,3153,469,5.5
SPY,2025-04-08,505.0,CALL,2025-04-08T13:30:00.000,2.7,3.16,2.54,2.55,1710,288,5.24
SPY,2025-04-08,505.0,CALL,2025-04-08T13:35:00.000,2.55,4.11,2.45,3.84,4471,734,4.88
SPY,2025-04-08,505.0,CALL,2025-04-08T13:40:00.000,3.8,6.0,3.79,5.26,4056,740,4.88
