symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2026-01-21,684.0,PUT,2026-01-21T09:30:00.000,4.98,5.11,4.35,4.89,992,125,4.8
SPY,2026-01-21,684.0,PUT,2026-01-21T09:35:00.000,4.88,5.06,3.76,4.09,1173,283,4.56
SPY,2026-01-21,684.0,PUT,2026-01-21T09:40:00.000,4.34,5.3,4.21,4.46,1083,139,4.64
SPY,2026-01-21,684.0,PUT,2026-01-21T09:45:00.000,4.37,4.37,3.39,3.44,260,64,4.58
SPY,2026-01-21,684.0,PUT,2026-01-21T09:50:00.000,3.46,3.63,3.0,3.05,645,94,4.38
SPY,2026-01-21,684.0,PUT,2026-01-21T09:55:00.000,3.06,3.08,2.25,2.33,1133,199,3.99
SPY,2026-01-21,684.0,PUT,2026-01-21T10:00:00.000,2.33,2.45,2.13,2.44,2541,202,3.42
SPY,2026-01-21,684.0,PUT,2026-01-21T10:05:00.000,2.45,2.54,2.07,2.52,1085,181,3.28
SPY,2026-01-21,684.0,PUT,2026-01-21T10:10:00.000,2.47,2.84,2.28,2.36,1112,201,3.2
SPY,2026-01-21,684.0,PUT,2026-01-21T10:15:00.000,2.32,2.32,1.61,2.02,5541,455,2.72
SPY,2026-01-21,684.0,PUT,2026-01-21T10:20:00.000,2.0,2.52,1.9,2.04,1667,297,2.67
SPY,2026-01-21,684.0,PUT,2026-01-21T10:25:00.000,2.0,2.32,1.74,1.78,1074,153,2.63
SPY,2026-01-21,684.0,PUT,2026-01-21T10:30:00.000,1.78,1.82,1.23,1.34,4619,515,2.38
SPY,2026-01-21,684.0,PUT,2026-01-21T10:35:00.000,1.33,1.35,1.03,1.16,8704,1053,2.03
SPY,2026-01-21,684.0,PUT,2026-01-21T10:40:00.000,1.16,1.19,0.92,0.95,7919,1024,1.83
SPY,2026-01-21,684.0,PUT,2026-01-21T10:45:00.000,0.95,0.95,0.74,0.87,12010,1347,1.59
SPY,2026-01-21,684.0,PUT,2026-01-21T10:50:00.000,0.86,0.89,0.71,0.71,9687,1255,1.47
SPY,2026-01-21,684.0,PUT,2026-01-21T10:55:00.000,0.71,0.86,0.69,0.84,6803,1058,1.4
SPY,2026-01-21,684.0,PUT,2026-01-21T11:00:00.000,0.83,0.95,0.8,0.94,12699,1725,1.32
SPY,2026-01-21,684.0,PUT,2026-01-21T11:05:00.000,0.94,1.08,0.81,1.02,15660,2446,1.26
SPY,2026-01-21,684.0,PUT,2026-01-21T11:10:00.000,1.02,1.06,0.71,1.0,9679,1601,1.22
SPY,2026-01-21,684.0,PUT,2026-01-21T11:15:00.000,1.01,1.08,0.81,1.05,12176,1381,1.2
SPY,2026-01-21,684.0,PUT,2026-01-21T11:20:00.000,1.04,1.16,0.94,0.99,17635,2106,1.18
SPY,2026-01-21,684.0,PUT,2026-01-21T11:25:00.000,0.99,1.13,0.77,0.94,11438,1461,1.16
SPY,2026-01-21,684.0,PUT,2026-01-21T11:30:00.000,0.94,1.38,0.91,1.28,17243,2296,1.17
SPY,2026-01-21,684.0,PUT,2026-01-21T11:35:00.000,1.29,2.64,1.25,2.56,14811,2531,1.22
SPY,2026-01-21,684.0,PUT,2026-01-21T11:40:00.000,2.58,3.11,2.3,3.03,5536,1008,1.26
SPY,2026-01-21,684.0,PUT,2026-01-21T11:45:00.000,3.1,3.27,2.47,2.7,2315,507,1.28
SPY,2026-01-21,684.0,PUT,2026-01-21T11:50:00.000,2.65,3.52,2.55,3.34,1413,248,1.3
SPY,2026-01-21,684.0,PUT,2026-01-21T11:55:00.000,3.47,4.2,3.35,4.09,1098,238,1.31
SPY,2026-01-21,684.0,PUT,2026-01-21T12:00:00.000,4.16,4.16,3.45,4.1,2403,163,1.34
SPY,2026-01-21,684.0,PUT,2026-01-21T12:05:00.000,4.09,4.77,4.05,4.55,1234,235,1.36
SPY,2026-01-21,684.0,PUT,2026-01-21T12:10:00.000,4.58,5.87,4.46,5.61,546,56,1.37
SPY,2026-01-21,684.0,PUT,2026-01-21T12:15:00.000,5.64,5.88,4.37,4.69,847,112,1.39
SPY,2026-01-21,684.0,PUT,2026-01-21T12:20:00.000,4.85,4.96,3.9,4.0,531,89,1.39
SPY,2026-01-21,684.0,PUT,2026-01-21T12:25:00.000,3.82,4.68,3.82,4.24,703,99,1.4
SPY,2026-01-21,684.0,PUT,2026-01-21T12:30:00.000,4.33,5.0,4.33,4.68,1200,101,1.43
SPY,2026-01-21,684.0,PUT,2026-01-21T12:35:00.000,4.58,5.06,4.23,4.33,1199,158,1.44
SPY,2026-01-21,684.0,PUT,2026-01-21T12:40:00.000,4.44,4.67,4.1,4.67,341,44,1.45
SPY,2026-01-21,684.0,PUT,2026-01-21T12:45:00.000,4.85,5.0,4.37,4.45,312,44,1.45
SPY,2026-01-21,684.0,PUT,2026-01-21T12:50:00.000,4.58,4.74,3.43,3.62,882,118,1.47
SPY,2026-01-21,684.0,PUT,2026-01-21T12:55:00.000,3.59,3.88,3.2,3.5,240,45,1.47
SPY,2026-01-21,684.0,PUT,2026-01-21T13:00:00.000,3.53,5.33,3.53,5.18,376,26,1.48
SPY,2026-01-21,684.0,PUT,2026-01-21T13:05:00.000,5.16,5.16,4.68,4.73,58,11,1.48
SPY,2026-01-21,684.0,PUT,2026-01-21T13:10:00.000,4.38,4.38,3.48,3.93,68,21,1.48
SPY,2026-01-21,684.0,PUT,2026-01-21T13:15:00.000,3.77,4.07,3.77,4.06,18,11,1.48
