symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2024-03-20,518.0,CALL,2024-03-20T09:30:00.000,0.98,1.03,0.8,0.81,3574,448,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T09:35:00.000,0.8,0.83,0.75,0.79,3324,294,0.85
SPY,2024-03-20,518.0,CALL,2024-03-20T09:40:00.000,0.79,0.84,0.71,0.74,1754,290,0.83
SPY,2024-03-20,518.0,CALL,2024-03-20T09:45:00.000,0.74,0.76,0.72,0.75,854,137,0.82
SPY,2024-03-20,518.0,CALL,2024-03-20T09:50:00.000,0.75,0.82,0.75,0.82,1267,184,0.82
SPY,2024-03-20,518.0,CALL,2024-03-20T09:55:00.000,0.82,0.86,0.8,0.8,1691,237,0.82
SPY,2024-03-20,518.0,CALL,2024-03-20T10:00:00.000,0.8,0.88,0.77,0.86,1567,213,0.82
SPY,2024-03-20,518.0,CALL,2024-03-20T10:05:00.000,0.86,0.91,0.84,0.87,1471,194,0.83
SPY,2024-03-20,518.0,CALL,2024-03-20T10:10:00.000,0.87,0.88,0.81,0.87,662,129,0.83
SPY,2024-03-20,518.0,CALL,2024-03-20T10:15:00.000,0.87,0.91,0.84,0.86,1181,169,0.83
SPY,2024-03-20,518.0,CALL,2024-03-20T10:20:00.000,0.86,1.02,0.83,1.0,1248,299,0.84
SPY,2024-03-20,518.0,CALL,2024-03-20T10:25:00.000,1.01,1.12,0.96,1.1,4097,534,0.88
SPY,2024-03-20,518.0,CALL,2024-03-20T10:30:00.000,1.1,1.14,1.0,1.0,2437,391,0.89
SPY,2024-03-20,518.0,CALL,2024-03-20T10:35:00.000,1.0,1.01,0.85,0.88,1508,359,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T10:40:00.000,0.91,0.92,0.86,0.9,590,116,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T10:45:00.000,0.89,0.96,0.87,0.89,614,128,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T10:50:00.000,0.9,0.98,0.9,0.94,725,134,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T10:55:00.000,0.94,0.98,0.92,0.94,238,84,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T11:00:00.000,0.96,1.03,0.94,1.03,796,121,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T11:05:00.000,1.02,1.05,1.01,1.04,545,149,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T11:10:00.000,1.03,1.09,1.03,1.07,573,131,0.9
SPY,2024-03-20,518.0,CALL,2024-03-20T11:15:00.000,1.08,1.09,1.02,1.07,638,151,0.91
SPY,2024-03-20,518.0,CALL,2024-03-20T11:20:00.000,1.06,1.07,1.02,1.04,283,69,0.91
SPY,2024-03-20,518.0,CALL,2024-03-20T11:25:00.000,1.03,1.07,0.98,1.05,482,105,0.91
SPY,2024-03-20,518.0,CALL,2024-03-20T11:30:00.000,1.06,1.08,0.94,0.98,830,151,0.91
SPY,2024-03-20,518.0,CALL,2024-03-20T11:35:00.000,0.97,0.99,0.92,0.94,336,92,0.91
SPY,2024-03-20,518.0,CALL,2024-03-20T11:40:00.000,0.95,0.97,0.93,0.94,349,65,0.91
SPY,2024-03-20,518.0,CALL,2024-03-20T11:45:00.000,0.93,0.95,0.9,0.94,1625,171,0.91
