symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2025-04-10,519.0,PUT,2025-04-10T09:30:00.000,1.9,1.9,1.28,1.51,778,156,1.63
SPY,2025-04-10,519.0,PUT,2025-04-10T09:35:00.000,1.48,1.94,1.35,1.68,802,183,1.6
SPY,2025-04-10,519.0,PUT,2025-04-10T09:40:00.000,1.75,2.2,1.69,1.83,983,316,1.74
SPY,2025-04-10,519.0,PUT,2025-04-10T09:45:00.000,1.8,1.8,1.27,1.29,971,179,1.66
SPY,2025-04-10,519.0,PUT,2025-04-10T09:50:00.000,1.3,1.65,1.14,1.54,423,142,1.63
SPY,2025-04-10,519.0,PUT,2025-04-10T09:55:00.000,1.53,1.83,1.49,1.83,451,142,1.64
SPY,2025-04-10,519.0,PUT,2025-04-10T10:00:00.000,1.85,2.24,1.57,1.85,1234,350,1.71
SPY,2025-04-10,519.0,PUT,2025-04-10T10:05:00.000,1.86,2.08,1.54,1.77,935,203,1.73
SPY,2025-04-10,519.0,PUT,2025-04-10T10:10:00.000,1.75,2.33,1.75,1.99,706,260,1.76
SPY,2025-04-10,519.0,PUT,2025-04-10T10:15:00.000,1.97,1.97,1.68,1.92,1073,168,1.77
SPY,2025-04-10,519.0,PUT,2025-04-10T10:20:00.000,1.93,2.0,1.3,1.34,1304,209,1.75
SPY,2025-04-10,519.0,PUT,2025-04-10T10:25:00.000,1.34,1.7,1.22,1.7,361,133,1.73
SPY,2025-04-10,519.0,PUT,2025-04-10T10:30:00.000,1.67,1.67,1.19,1.2,265,105,1.73
SPY,2025-04-10,519.0,PUT,2025-04-10T10:35:00.000,1.22,1.31,1.04,1.2,415,99,1.7
SPY,2025-04-10,519.0,PUT,2025-04-10T10:40:00.000,1.1,1.29,0.99,1.25,370,87,1.68
SPY,2025-04-10,519.0,PUT,2025-04-10T10:45:00.000,1.26,1.6,1.22,1.48,515,127,1.67
SPY,2025-04-10,519.0,PUT,2025-04-10T10:50:00.000,1.5,1.67,1.36,1.45,699,123,1.66
SPY,2025-04-10,519.0,PUT,2025-04-10T10:55:00.000,1.43,1.93,1.35,1.87,653,207,1.66
SPY,2025-04-10,519.0,PUT,2025-04-10T11:00:00.000,1.9,1.98,1.71,1.74,532,126,1.67
SPY,2025-04-10,519.0,PUT,2025-04-10T11:05:00.000,1.76,1.83,1.24,1.28,734,142,1.66
SPY,2025-04-10,519.0,PUT,2025-04-10T11:10:00.000,1.31,1.77,1.28,1.73,590,116,1.65
SPY,2025-04-10,519.0,PUT,2025-04-10T11:15:00.000,1.72,2.02,1.66,1.98,1059,224,1.67
SPY,2025-04-10,519.0,PUT,2025-04-10T11:20:00.000,1.98,2.3,1.9,2.14,737,219,1.69
SPY,2025-04-10,519.0,PUT,2025-04-10T11:25:00.000,2.15,2.41,2.02,2.4,1260,195,1.73
SPY,2025-04-10,519.0,PUT,2025-04-10T11:30:00.000,2.4,2.93,2.23,2.48,1682,336,1.8
